,datetime,core_temp,bark_temp
4704,2021-02-02,300.84,301.78999999999996
4703,2021-02-02,300.84,301.78999999999996
4702,2021-02-02,300.82,301.78999999999996
4701,2021-02-02,300.79999999999995,301.76
4700,2021-02-02,300.77,301.76
4699,2021-02-02,300.77,301.76
4698,2021-02-02,300.77,301.76
4697,2021-02-02,300.77,301.73999999999995
4696,2021-02-02,300.77,301.71999999999997
4695,2021-02-02,300.75,301.7
4694,2021-02-02,300.71,301.67999999999995
4693,2021-02-02,300.71,301.65999999999997
4692,2021-02-02,300.71,301.64
4691,2021-02-02,300.71,301.65999999999997
4690,2021-02-02,300.69,301.64
4689,2021-02-02,300.66999999999996,301.62
4688,2021-02-02,300.65,301.64
4687,2021-02-02,300.65,301.58
4686,2021-02-02,300.65,301.59999999999997
4685,2021-02-02,300.65,301.58
4684,2021-02-02,300.65,301.58
4683,2021-02-02,300.59,301.56
4682,2021-02-02,300.59,301.58
4681,2021-02-02,300.59,301.51
4680,2021-02-02,300.59,301.51
4679,2021-02-02,300.59,301.48999999999995
4678,2021-02-02,300.59,301.51
4677,2021-02-02,300.57,301.46999999999997
4676,2021-02-03,300.53,301.48999999999995
4675,2021-02-03,300.53,301.46999999999997
4674,2021-02-03,300.53,301.45
4673,2021-02-03,300.53,301.42999999999995
4672,2021-02-03,300.53,301.40999999999997
4671,2021-02-03,300.5,301.45
4670,2021-02-03,300.5,301.40999999999997
4669,2021-02-03,300.46,301.42999999999995
4668,2021-02-03,300.46,301.40999999999997
4667,2021-02-03,300.46,301.40999999999997
4666,2021-02-03,300.46,301.40999999999997
4665,2021-02-03,300.46,301.39
4664,2021-02-03,300.46,301.39
4663,2021-02-03,300.46,301.34999999999997
4662,2021-02-03,300.46,301.39
4661,2021-02-03,300.47999999999996,301.39
4660,2021-02-03,300.46,301.37
4659,2021-02-03,300.5,301.34999999999997
4658,2021-02-03,300.46,301.31
4657,2021-02-03,300.5,301.34999999999997
4656,2021-02-03,300.5,301.33
4655,2021-02-03,300.53,301.31
4654,2021-02-03,300.53,301.28999999999996
4653,2021-02-03,300.53,301.33
4652,2021-02-03,300.53,301.28999999999996
4651,2021-02-03,300.57,301.26
4650,2021-02-03,300.59,301.28999999999996
